Author,Book,Category,Year
George Webster,This is me,Reading Challenge,EYFS
Sarah Christou,Blue,Reading Challenge,EYFS
Samantha Cotterill,This beach is loud !,Reading Challenge,EYFS
Swapna Haddow,My mum is a lioness,Reading Challenge,EYFS
Laura Gallagher,Robo Babies,Reading Challenge,EYFS
Dapo Adeola,Hey You!,Reading Challenge,EYFS
Karamo Brown,I am perfectly designed,Reading Challenge,EYFS
Vanessa Brantly-Newton,Grandma's purse,Reading Challenge,EYFS
Lizzie Finlay,Chapatti moon,Reading Challenge,EYFS
Rose  Robbins,Talking is not my thing,Reading Challenge,EYFS
Abeeha Tariq,My most exciting eid,Reading Challenge,EYFS
Stevan Cowell and Erica Salcedo,Poo poo bum bum wee wee,Reading Challenge,EYFS
Michaela Dias-Hayes,Family and me!,Reading Challenge,EYFS
Garry Parson,Lama Glamarama,Reading Challenge,EYFS
Jessica Love,Julian is a mermaid,Reading Challenge,EYFS
Angela Brooksbank,Catch that chicken,Reading Challenge,EYFS
John Agard,Books make good pets,Reading Challenge,EYFS
Rachel Bright,The Stompysaurus,Reading Challenge,EYFS
Alice Courtley,Lost in the city,Reading Challenge,EYFS
Yessica Baeten,The zoo inside me,Reading Challenge,EYFS
Carrie Finison,Don't hug Dough,Reading Challenge,EYFS
Polly Dunbar,Can bears ski,Reading Challenge,EYFS
Fiona Lumbers,The hairdo that got away,Reading Challenge,EYFS
Dapo Adeola,We're going to find the monster,Reading Challenge,EYFS
Chante Timothy,Daddy do my hair,Reading Challenge,EYFS
Matthew A Cherry,Hair Love,Reading Challenge,EYFS
Kate Hindley,The same but different too,Reading Challenge,EYFS
Rachael Davis,I am not a prince,Reading Challenge,EYFS
Corrina Campbell,The boy who rescued a rainbow,Reading Challenge,EYFS
Lily murray,A dress with pockets,Reading Challenge,EYFS
Adam and Charlotte Guillian,My big fantastic family,Reading Challenge,EYFS
Samuel Boughton,The Extraordinary Gardener,Reading Challenge,EYFS
AKALA,Hip and HOP,Reading Challenge,EYFS
Julia Donaldson,Freddie and the Fairy,Reading Challenge,EYFS
Jion Sheibani,The Worries,Reading Challenge,1
Zadie Smith,Weirdo,Reading Challenge,1
Georgina Stevens,Stella and the Seagull,Reading Challenge,1
Saadia Faruqi,Yasmin The Scientist,Reading Challenge,1
Keith Negley,Tough Guys have feelings too,Reading Challenge,1
Poonam Mistry,How the Stars Came to Be,Reading Challenge,1
Swapna Reddy AND Bimmy Talib,Ballet Bunnies The New Class,Reading Challenge,1
Kate Milner,My Name Is Not Refugee,Reading Challenge,1
Rachel SuZanne,Rochelle Humes the MEGA Magic Teacher SWAP,Reading Challenge,1
CHITRA SOUNDAR,NIKHIL AND JAY SAVE THE DAY,Reading Challenge,1
SONALI SHAH AND CHAAYA PRABHAT,THE BEST DIWALI EVER,Reading Challenge,1
Saadia Faruqi,YASMIN The Doctor,Reading Challenge,1
Jordan Stephens and Beth Suzanna,The Missing Piece,Reading Challenge,1
Dawn Coulter-Cruttenden,Bear Shaped,Reading Challenge,1
Tom Percival,Milo's Monster,Reading Challenge,1
Kate Milner,It's a No Money Day,Reading Challenge,1
Nadia Shireen,Billy and the Beast,Reading Challenge,1
Lou John and Jenny Bloomfield,The Worry Jar,Reading Challenge,1
Jane Porter,The Girl Who Noticed Everything,Reading Challenge,1
Rob Kearney and Eric Rosswood,Strong,Reading Challenge,1
Pamela Butchart,Jeremy worried about the wind,Reading Challenge,1
Arree Chung,MIXED,Reading Challenge,1
Lucy Rowland,Wanda's words got stuck,Reading Challenge,1
