Author,Book,Category,Year,ISBN
George Webster,This is me,Reading Challenge,EYFS,9780702319143
Sarah Christou,Blue,Reading Challenge,EYFS,9780571376360
Samantha Cotterill,This beach is loud !,Reading Challenge,EYFS,9781789561364
Swapna Haddow,My mum is a lioness,Reading Challenge,EYFS,9781529013993
Laura Gallagher,Robo Babies,Reading Challenge,EYFS,9781913339043
Dapo Adeola,Hey You!,Reading Challenge,EYFS,9780241521946
Karamo Brown,I am perfectly designed,Reading Challenge,EYFS,9781250232212
Vanessa Brantly-Newton,Grandma's purse,Reading Challenge,EYFS,9781524714314
Lizzie Finlay,Chapatti moon,Reading Challenge,EYFS,9781848531284
Rose  Robbins,Talking is not my thing,Reading Challenge,EYFS,9780802855497
Abeeha Tariq,My most exciting eid,Reading Challenge,EYFS,9780702313240
Stevan Cowell and Erica Salcedo,Poo poo bum bum wee wee,Reading Challenge,EYFS,9780241473085
Michaela Dias-Hayes,Family and me!,Reading Challenge,EYFS,9781913339395
Garry Parson,Lama Glamarama,Reading Challenge,EYFS,9781338736182
Jessica Love,Julian is a mermaid,Reading Challenge,EYFS,9781406386424
Angela Brooksbank,Catch that chicken,Reading Challenge,EYFS,9781406363616
John Agard,Books make good pets,Reading Challenge,EYFS,9781408359877
Rachel Bright,The Stompysaurus,Reading Challenge,EYFS,9781408356166
Alice Courtley,Lost in the city,Reading Challenge,EYFS,9781408364192
Yessica Baeten,The zoo inside me,Reading Challenge,EYFS,9781839131455
Carrie Finison,Don't hug Dough,Reading Challenge,EYFS,9780241527573
Polly Dunbar,Can bears ski,Reading Challenge,EYFS,9781406382624
Fiona Lumbers,The hairdo that got away,Reading Challenge,EYFS,9781783447824
Dapo Adeola,We're going to find the monster,Reading Challenge,EYFS,9780241401309
Chante Timothy,Daddy do my hair,Reading Challenge,EYFS,9781398511460
Matthew A Cherry,Hair Love,Reading Challenge,EYFS,9780525553366
Kate Hindley,The same but different too,Reading Challenge,EYFS,9781788004008
Rachael Davis,I am not a prince,Reading Challenge,EYFS,9781408362259
Corrina Campbell,The boy who rescued a rainbow,Reading Challenge,EYFS,9781916205468
Lily murray,A dress with pockets,Reading Challenge,EYFS,9781529047868
Adam and Charlotte Guillian,My big fantastic family,Reading Challenge,EYFS,9781839943478
Samuel Boughton,The Extraordinary Gardener,Reading Challenge,EYFS,9781849765664
AKALA,Hip and HOP,Reading Challenge,EYFS,9780192747808
Julia Donaldson,Freddie and the Fairy,Reading Challenge,EYFS,9780330511186
