Author,Book,Category,Reading Year,ISBN,Metadata Title,Metadata Author,Metadata Publisher,Metadata Year,Metadata Language,Metadata Cover URL Thumbnail,Metadata Cover URL Small Thumbnail,Number Of Copies
George Webster,This is me,Reading Challenge,EYFS,9780702319143,This Is Me,George Webster,Unknown,2023,en,http://books.google.com/books/content?id=ceH4zgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com/books/content?id=ceH4zgEACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api,1
Sarah Christou,Blue,Reading Challenge,EYFS,9780571376360,Blue,Sarah Christou,Faber & Faber Children's Books,2023,en,http://books.google.com/books/content?id=5KQ4zwEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com/books/content?id=5KQ4zwEACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api,1
Samantha Cotterill,This beach is loud !,Reading Challenge,EYFS,9781789561364,This Beach Is Loud!,Samantha Cotterill,Upside Down Books,2020,en,http://books.google.com/books/content?id=Ng5qzAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com/books/content?id=Ng5qzAEACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api,1
Swapna Haddow,My mum is a lioness,Reading Challenge,EYFS,9781529013993,My Mum Is A Lioness,Swapna Haddow,Macmillan Children's Books,2022,en,http://books.google.com/books/content?id=m0eZzgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com/books/content?id=m0eZzgEACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api,1
Laura Gallagher,Robo Babies,Reading Challenge,EYFS,9781913339043,Robo-Babies,Laura Gallagher,Unknown,2020,en,Unknown,Unknown,1
Dapo Adeola,Hey You!,Reading Challenge,EYFS,9780241521946,Hey You! - An Empowering Celebration Of Growing Up Black,Dapo Adeola,Puffin,2021,en,http://books.google.com/books/content?id=7ugazgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com/books/content?id=7ugazgEACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api,1
Karamo Brown,I am perfectly designed,Reading Challenge,EYFS,9781250232212,I Am Perfectly Designed,Karamo Brown & Jason Brown,Henry Holt and Company (BYR),2019,en,http://books.google.com/books/content?id=PvFjxQEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com/books/content?id=PvFjxQEACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api,1
Vanessa Brantly-Newton,Grandma's purse,Reading Challenge,EYFS,9781524714314,Grandma's Purse,Vanessa Brantley-Newton,Knopf Books for Young Readers,2018,en,http://books.google.com/books/content?id=sKlCDwAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com/books/content?id=sKlCDwAAQBAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api,1
Lizzie Finlay,Chapatti moon,Reading Challenge,EYFS,9781848531284,Chapatti Moon,Pippa Goodhart,Tamarind,2017,en,http://books.google.com/books/content?id=efLowAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com/books/content?id=efLowAEACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api,1
Rose  Robbins,Talking is not my thing,Reading Challenge,EYFS,9780802855497,Talking Is Not My Thing,Rose Robbins,Eerdmans Books For Young Readers,2020,en,http://books.google.com/books/content?id=V6YvzQEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com/books/content?id=V6YvzQEACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api,1
